Word,Category
ant,bug
fly,bug
grasshopper,bug
bug,bug
scorpion,bug
mosquito,bug
spider,bug
beetle,bug
bee,bug
wasp,bug
chicken,avian
eagle,avian
ostrich,avian
pelican,avian
peacock,avian
penguin,avian
bird,avian
dove,avian
quail,avian
duck,avian
parrot,avian
rooster,avian
rabbit,mamal
panda,mamal
rhinoceros,mamal
raccoon,mamal
dog,mamal
cat,mamal
sheep,mamal
wolf,mamal
moose ,mamal
deer,mamal
lobster,sealife
shark,sealife
dolphin,sealife
turtle,sealife
seahorse,sealife
walrus,sealife
seal ,sealife
snail,sealife
whale,sealife
stingray,sealife
hammer,sealife
nail,tools
paintbrush,tools
pliers,tools
screw,tools
screwdriver,tools
shovel,tools
wrench,tools
corkscrew,tools
magnet,tools
spoon,tools
fork,tools
chair,furniture
desk,furniture
couch,furniture
table,furniture
lamp,furniture
crib,furniture
curtains,furniture
drawer,furniture
dresser,furniture
fence,furniture
